cliente;linha_origem;categoria;material;marca;codigo;pagina_catalogo;acabamento;aplicacao;quantidade;unidade;temperatura_led;distribuicao_led;observacoes;texto_original
A ROMANA;59;tinta;ROMANA ANTICO;;00800878;;;;;;;[];;ROMANA ANTICO 00800878
A ROMANA;59;led;LED QUENTE;;;;;;164;módulos;Quente;"[{""group"": ""A ROMANA"", ""position"": ""A1"", ""letter"": ""A"", ""quantity"": 22}, {""group"": ""A ROMANA"", ""position"": ""R"", ""letter"": ""R"", ""quantity"": 22}, {""group"": ""A ROMANA"", ""position"": ""O"", ""letter"": ""O"", ""quantity"": 20}, {""group"": ""A ROMANA"", ""position"": ""M"", ""letter"": ""M"", ""quantity"": 32}, {""group"": ""A ROMANA"", ""position"": ""A2"", ""letter"": ""A"", ""quantity"": 25}, {""group"": ""A ROMANA"", ""position"": ""N"", ""letter"": ""N"", ""quantity"": 20}, {""group"": ""A ROMANA"", ""position"": ""A3"", ""letter"": ""A"", ""quantity"": 23}]";;LED'S - QUENTE - TOTAL - 164 / A1-22, R-22, O-20, M-32, A2-25, N-20, A3-23
A ROMANA;59;fonte;FONTE NÃO INFORMADA;;;;;;;;;[];Potência da fonte não informada na planilha.;FONTE -
MOVA PACE FITNESS;60;tinta;AMARELO MOVA PACE;;008000876;;;MOVA;;;;[];;AMARELO MOVA PACE 008000876 - MOVA
MOVA PACE FITNESS;60;tinta;VERDE AQUA MOVA PACE;;00800877;;;PACE;;;;[];;VERDE AQUA MOVA PACE 00800877 - PACE
MOVA PACE FITNESS;60;tinta;BRANCO GEADA;;;;;FITNESS;;;;[];;BRANCO GEADA - FITNESS
MOVA PACE FITNESS;60;led;LED FRIO 8K;;;;;;151;módulos;Frio 8K;"[{""group"": ""MOVA"", ""position"": ""M"", ""letter"": ""M"", ""quantity"": 19}, {""group"": ""MOVA"", ""position"": ""O"", ""letter"": ""O"", ""quantity"": 18}, {""group"": ""MOVA"", ""position"": ""V"", ""letter"": ""V"", ""quantity"": 11}, {""group"": ""MOVA"", ""position"": ""A"", ""letter"": ""A"", ""quantity"": 11}, {""group"": ""PACE"", ""position"": ""P"", ""letter"": ""P"", ""quantity"": 17}, {""group"": ""PACE"", ""position"": ""A"", ""letter"": ""A"", ""quantity"": 11}, {""group"": ""PACE"", ""position"": ""C"", ""letter"": ""C"", ""quantity"": 13}, {""group"": ""PACE"", ""position"": ""E"", ""letter"": ""E"", ""quantity"": 20}, {""group"": ""FITNESS"", ""position"": ""F"", ""letter"": ""F"", ""quantity"": 4}, {""group"": ""FITNESS"", ""position"": ""I"", ""letter"": ""I"", ""quantity"": 2}, {""group"": ""FITNESS"", ""position"": ""T"", ""letter"": ""T"", ""quantity"": 3}, {""group"": ""FITNESS"", ""position"": ""N"", ""letter"": ""N"", ""quantity"": 6}, {""group"": ""FITNESS"", ""position"": ""E"", ""letter"": ""E"", ""quantity"": 4}, {""group"": ""FITNESS"", ""position"": ""S1"", ""letter"": ""S"", ""quantity"": 6}, {""group"": ""FITNESS"", ""position"": ""S2"", ""letter"": ""S"", ""quantity"": 6}]";;LED'S FRIO 8K - TOTAL - 151 / distribuição por letra de MOVA PACE FITNESS
MOVA PACE FITNESS;60;fonte;FONTES 150W + 200W;;;;;;;;;[];Uma fonte de 150 W e uma fonte de 200 W, conforme planilha.;FONTE - 150 + 200
A F MOTO (ALVARO FIORETTI);61;tinta;PRATA SIRIUS;;;;;;;;;[];;PRATA SIRIUS
A F MOTO (ALVARO FIORETTI);61;tinta;SOL DOURADO;Coral;;86;;;;;;[];;SOL DOURADO - PAG 86 - CORAL
